name,id,source,placement_rule,pct_new_chunks_hosting_anchor,expected_per_1000x1000_blocks,average_spacing,biome_terrain_restrictions,sample,relative_std_error,note
Wind Caravan Shelter,cat:wind_caravan_shelter,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 44x152 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00007237,0.0028,"about 1 per 18,800 x 18,800 blocks","mode surface, tier 2; biomes: Tenement Wound, Gravity Scar, Bleached Expanse, Neon Dust Basin, Coalbreath Ridges, Iron Convoy Barrens, Forgotten Monarch Shore, Blackgutter Chasm, Frostcrown Ramparts, II - Lust: The Unceasing Gale, IV - Greed: The Burdened Quarry, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 2,827 sites",1.88%,
Lost Reliquary Stair and Votive Yard,cat:lost_reliquary_stair,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 32x140 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00009841,0.0038,"about 1 per 16,100 x 16,100 blocks","mode surface, tier 2; biomes: Palimpsest Vaultlands, Red Blossom Hollow, Sanguine Exclusion Forest, Hollow Crown Borough, Rootbound Sanctuary, Cinderlake Shelf, Forgotten Monarch Shore, Ringfall Cinders, Cathedral of the Last Ember, Drowned Oath Fen, Bastion of the Unburied, Kandarian Hunting Grounds, I - Limbo: Mourning Fields, VI - Heresy: Sepulcher of Embers, VII - Violence: Thornblood Reach, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 3,844 sites",1.61%,
Flood-Markers' Boathouse,cat:flood_markers_boathouse,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 44x140 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00008021,0.0031,"about 1 per 17,900 x 17,900 blocks","mode surface, tier 1; biomes: Ashveil Coast, Drowned Borough, Penitent Spillway, Signalwreck Coast, Blackreed Marsh, Sunken Convoy, Brine Lantern Mire, Leechwater Depths, Drowned Oath Fen, III - Gluttony: Carrion Slough, V - Wrath: Styx Blackwater","956,483 legacy + 6,801,654 expansion regions (1,000k square); 3,133 sites",1.79%,
Metro Crossline Interchange and Civil Shelter,cat:metro_crossline_interchange,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 92x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001646,0.0006,"about 1 per 39,400 x 39,400 blocks","mode buried, tier 4; biomes: Rustwater Ward, Gutterglass Schoolgrounds, Bloomfall Tenements, Oxide Railgrave, Capitol Ossuary, Shelterfall Terraces, Carousel Wastes, Boomtown After Midnight, Endless Night Boulevard","956,483 legacy + 6,801,654 expansion regions (1,000k square); 643 sites",3.94%,
Metro Abandoned Freight Loop,cat:metro_abandoned_freight_loop,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002662,0.0010,"about 1 per 31,000 x 31,000 blocks","mode buried, tier 3; biomes: Abandoned Cordon, Oxide Railgrave, Bleached Expanse, Capitol Ossuary, Viridian Blastlands, Coalbreath Ridges, Iron Convoy Barrens, Brotherhood Slagfields, Boomtown After Midnight, IV - Greed: The Burdened Quarry","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,040 sites",3.10%,
Metro Memorial Terminal and Catacomb Platforms,cat:metro_memorial_terminal,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 104x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.000006656,0.0003,"about 1 per 62,000 x 62,000 blocks","mode buried, tier 5; biomes: Rustwater Ward, Palimpsest Vaultlands, Oxide Railgrave, Capitol Ossuary, Hollow Crown Borough, Ringfall Cinders, Boomtown After Midnight, Endless Night Boulevard, VI - Heresy: Sepulcher of Embers","956,483 legacy + 6,801,654 expansion regions (1,000k square); 260 sites",6.20%,
Metro Coastal Pressure Station,cat:metro_coastal_pressure_station,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001254,0.0005,"about 1 per 45,200 x 45,200 blocks","mode underwater, tier 4; biomes: Ashveil Coast, Drowned Borough, Penitent Spillway, Signalwreck Coast, Sunken Convoy, Brine Lantern Mire, Leechwater Depths, Drowned Oath Fen, V - Wrath: Styx Blackwater; needs >= 90% of room samples below y62","956,483 legacy + 6,801,654 expansion regions (1,000k square); 490 sites",4.52%,
Catacomb of Seven Burial Aisles,cat:catacomb_seven_burial_aisles,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002307,0.0009,"about 1 per 33,300 x 33,300 blocks","mode buried, tier 4; biomes: Palimpsest Vaultlands, Capitol Ossuary, Hollow Crown Borough, Cinderlake Shelf, Forgotten Monarch Shore, Ringfall Cinders, Cathedral of the Last Ember, Bastion of the Unburied, I - Limbo: Mourning Fields, VI - Heresy: Sepulcher of Embers, VII - Violence: Thornblood Reach, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 901 sites",3.33%,
Catacomb Procession Loop and Embalming House,cat:catacomb_procession_loop,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 68x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00003820,0.0015,"about 1 per 25,900 x 25,900 blocks","mode buried, tier 3; biomes: Cinder Hospice, Palimpsest Vaultlands, Hollow Crown Borough, Rootbound Sanctuary, Ringfall Cinders, Cathedral of the Last Ember, Cabin of the Listening Pines, Bloodroot Timberland, Deadward Asylum, Possessed Orchard, I - Limbo: Mourning Fields, VI - Heresy: Sepulcher of Embers","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,492 sites",2.59%,
Catacomb of the Drowned Bell,cat:catacomb_drowned_bell,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001339,0.0005,"about 1 per 43,700 x 43,700 blocks","mode underwater, tier 4; biomes: Ashveil Coast, Drowned Borough, Penitent Spillway, Blackreed Marsh, Brine Lantern Mire, Leechwater Depths, Forgotten Monarch Shore, Drowned Oath Fen, III - Gluttony: Carrion Slough, V - Wrath: Styx Blackwater; needs >= 90% of room samples below y62","956,483 legacy + 6,801,654 expansion regions (1,000k square); 523 sites",4.37%,
Cistern of Three Pressure Wells,cat:cistern_three_pressure_wells,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00003141,0.0012,"about 1 per 28,500 x 28,500 blocks","mode buried, tier 4; biomes: Ashveil Coast, Drowned Borough, Penitent Spillway, Blackreed Marsh, Sunken Convoy, Bleached Expanse, Viridian Blastlands, Brine Lantern Mire, Leechwater Depths, Drowned Oath Fen, III - Gluttony: Carrion Slough, V - Wrath: Styx Blackwater","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,227 sites",2.85%,
Civic Filter Hall and Reservoir Archive,cat:cistern_civic_filter_hall,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00003725,0.0015,"about 1 per 26,200 x 26,200 blocks","mode buried, tier 3; biomes: Rustwater Ward, Gutterglass Schoolgrounds, Drowned Borough, Whiteout Reservoir, Penitent Spillway, Bloomfall Tenements, Capitol Ossuary, Shelterfall Terraces, Brine Lantern Mire, Boomtown After Midnight, Deadward Asylum, Endless Night Boulevard","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,455 sites",2.62%,
Research Cryo Annex and Isolation Galleries,cat:research_cryo_annex,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002578,0.0010,"about 1 per 31,500 x 31,500 blocks","mode buried, tier 4; biomes: Whiteout Reservoir, Abandoned Cordon, Dead Array, Gravity Scar, Glass Reactor, Viridian Blastlands, Shelterfall Terraces, Vaultroot Gardens, Frostcrown Ramparts, Deadward Asylum, Mirrorward Thicket, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,007 sites",3.15%,
Research Containment Spokes,cat:research_containment_spokes,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.000008551,0.0003,"about 1 per 54,700 x 54,700 blocks","mode buried, tier 5; biomes: Abandoned Cordon, Dead Array, Sanguine Exclusion Forest, Gravity Scar, Glass Reactor, Viridian Blastlands, Vaultroot Gardens, Mirrorward Thicket","956,483 legacy + 6,801,654 expansion regions (1,000k square); 334 sites",5.47%,
Marsh Sampling Dome and Tide Lab,cat:research_marsh_sampling_dome,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 68x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002076,0.0008,"about 1 per 35,100 x 35,100 blocks","mode underwater, tier 3; biomes: Ashveil Coast, Drowned Borough, Blackreed Marsh, Sunken Convoy, Vaultroot Gardens, Brine Lantern Mire, Leechwater Depths, Drowned Oath Fen, III - Gluttony: Carrion Slough, V - Wrath: Styx Blackwater; needs >= 90% of room samples below y62","956,483 legacy + 6,801,654 expansion regions (1,000k square); 811 sites",3.51%,
Monastery of the Four Silent Seasons,cat:monastery_four_seasons,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.0006221,0.0243,"about 1 per 6,400 x 6,400 blocks","mode surface, tier 4; biomes: Red Blossom Hollow, Sanguine Exclusion Forest, Bitter Orchard, Hollow Crown Borough, Rootbound Sanctuary, Forgotten Monarch Shore, Frostcrown Ramparts, Cathedral of the Last Ember, Kandarian Hunting Grounds, I - Limbo: Mourning Fields, VII - Violence: Thornblood Reach","956,483 legacy + 6,801,654 expansion regions (1,000k square); 24,301 sites",0.64%,
Cliff Scriptorium and Wind Cloister,cat:monastery_cliff_scriptorium,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.001168,0.0456,"about 1 per 4,700 x 4,700 blocks","mode surface, tier 4; biomes: Tenement Wound, Palimpsest Vaultlands, Gravity Scar, Hollow Crown Borough, Rootbound Sanctuary, Forgotten Monarch Shore, Blackgutter Chasm, Frostcrown Ramparts, Ringfall Cinders, Cathedral of the Last Ember, II - Lust: The Unceasing Gale, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 45,623 sites",0.47%,
Pilgrim Refectory and Herb Garden,cat:monastery_pilgrim_refectory,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 92x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.0009830,0.0384,"about 1 per 5,100 x 5,100 blocks","mode surface, tier 3; biomes: Red Blossom Hollow, Sanguine Exclusion Forest, Bitter Orchard, Vaultroot Gardens, Rootbound Sanctuary, Forgotten Monarch Shore, Cabin of the Listening Pines, Possessed Orchard, Kandarian Hunting Grounds, I - Limbo: Mourning Fields","956,483 legacy + 6,801,654 expansion regions (1,000k square); 38,397 sites",0.51%,
Observatory of the Broken Ecliptic,cat:observatory_broken_ecliptic,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.001657,0.0647,"about 1 per 3,900 x 3,900 blocks","mode surface, tier 5; biomes: Tenement Wound, Whiteout Reservoir, Signalwreck Coast, Dead Array, Gravity Scar, Glass Reactor, Coalbreath Ridges, Gilded Hush, Blackgutter Chasm, Frostcrown Ramparts, II - Lust: The Unceasing Gale, VIII - Fraud: Malebolge Trenches, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 64,742 sites",0.39%,
Polar Survey Observatory and Weather Archive,cat:observatory_polar_survey,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 68x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.0005782,0.0226,"about 1 per 6,700 x 6,700 blocks","mode surface, tier 3; biomes: Whiteout Reservoir, Signalwreck Coast, Dead Array, Frostcrown Ramparts, II - Lust: The Unceasing Gale, IX - Treachery: Cocytus","956,483 legacy + 6,801,654 expansion regions (1,000k square); 22,585 sites",0.67%,
Bell-Casting Court and Workers' Barracks,cat:foundry_bell_casting_court,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.001372,0.0536,"about 1 per 4,300 x 4,300 blocks","mode surface, tier 4; biomes: Oxide Railgrave, Coalbreath Ridges, Brotherhood Slagfields, Cinderlake Shelf, Ringfall Cinders, Boomtown After Midnight, Bastion of the Unburied, IV - Greed: The Burdened Quarry, VI - Heresy: Sepulcher of Embers","956,483 legacy + 6,801,654 expansion regions (1,000k square); 53,575 sites",0.43%,
Underground Furnace and Assay Galleries,cat:foundry_underground_furnace,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002609,0.0010,"about 1 per 31,300 x 31,300 blocks","mode buried, tier 4; biomes: Gravity Scar, Glass Reactor, Viridian Blastlands, Coalbreath Ridges, Brotherhood Slagfields, Cinderlake Shelf, Blackgutter Chasm, Bastion of the Unburied, IV - Greed: The Burdened Quarry, VI - Heresy: Sepulcher of Embers, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,019 sites",3.13%,
Ward Garden and Hydrotherapy Pavilion,cat:infirmary_ward_garden,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.001972,0.0770,"about 1 per 3,600 x 3,600 blocks","mode surface, tier 3; biomes: Gutterglass Schoolgrounds, Cinder Hospice, Whiteout Reservoir, Red Blossom Hollow, Bloomfall Tenements, Shelterfall Terraces, Vaultroot Gardens, Cabin of the Listening Pines, Deadward Asylum, Mirrorward Thicket, VII - Violence: Thornblood Reach","956,483 legacy + 6,801,654 expansion regions (1,000k square); 77,029 sites",0.36%,
Quarantine Catacomb and Pathology Vault,cat:infirmary_quarantine_catacomb,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002291,0.0009,"about 1 per 33,400 x 33,400 blocks","mode buried, tier 4; biomes: Cinder Hospice, Abandoned Cordon, Sanguine Exclusion Forest, Glass Reactor, Viridian Blastlands, Cabin of the Listening Pines, Bloodroot Timberland, Deadward Asylum, Mirrorward Thicket, III - Gluttony: Carrion Slough, VII - Violence: Thornblood Reach","956,483 legacy + 6,801,654 expansion regions (1,000k square); 895 sites",3.34%,
Archive of the Debt Tribunal,cat:archive_debt_tribunal,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002084,0.0008,"about 1 per 35,000 x 35,000 blocks","mode buried, tier 4; biomes: Rustwater Ward, Gutterglass Schoolgrounds, Palimpsest Vaultlands, Capitol Ossuary, Neon Dust Basin, Shelterfall Terraces, Gilded Hush, Boomtown After Midnight, Endless Night Boulevard, I - Limbo: Mourning Fields, IV - Greed: The Burdened Quarry, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 814 sites",3.50%,
Mirror Atlas Library and Listening Rooms,cat:archive_mirror_atlas,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002586,0.0010,"about 1 per 31,500 x 31,500 blocks","mode buried, tier 4; biomes: Palimpsest Vaultlands, Bloomfall Tenements, Dead Array, Gravity Scar, Gilded Hush, Cabin of the Listening Pines, Deadward Asylum, Endless Night Boulevard, Mirrorward Thicket, Grinning Hollow, II - Lust: The Unceasing Gale, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,010 sites",3.15%,
Inverted Orchard Conservatory and Root Vault,cat:conservatory_inverted_orchard,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002074,0.0008,"about 1 per 35,100 x 35,100 blocks","mode buried, tier 4; biomes: Red Blossom Hollow, Sanguine Exclusion Forest, Bitter Orchard, Vaultroot Gardens, Rootbound Sanctuary, Cabin of the Listening Pines, Bloodroot Timberland, Possessed Orchard, Mirrorward Thicket, Kandarian Hunting Grounds","956,483 legacy + 6,801,654 expansion regions (1,000k square); 810 sites",3.51%,
Ferrymen's Exchange and Bonded Vault,cat:harbor_ferrymens_exchange,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.002251,0.0879,"about 1 per 3,400 x 3,400 blocks","mode surface, tier 3; biomes: Ashveil Coast, Drowned Borough, Penitent Spillway, Signalwreck Coast, Blackreed Marsh, Sunken Convoy, Brine Lantern Mire, Leechwater Depths, Forgotten Monarch Shore, Drowned Oath Fen, V - Wrath: Styx Blackwater","956,483 legacy + 6,801,654 expansion regions (1,000k square); 87,931 sites",0.34%,
Submerged Drydock and Salvage Works,cat:harbor_submerged_drydock,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001167,0.0005,"about 1 per 46,800 x 46,800 blocks","mode underwater, tier 4; biomes: Ashveil Coast, Drowned Borough, Sunken Convoy, Brine Lantern Mire, Leechwater Depths, Drowned Oath Fen, III - Gluttony: Carrion Slough, V - Wrath: Styx Blackwater; needs >= 90% of room samples below y62","956,483 legacy + 6,801,654 expansion regions (1,000k square); 456 sites",4.68%,
Siege Hospital and Sally-Port Cells,cat:barracks_siege_hospital,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.0009229,0.0360,"about 1 per 5,300 x 5,300 blocks","mode surface, tier 4; biomes: Abandoned Cordon, Sanguine Exclusion Forest, Iron Convoy Barrens, Brotherhood Slagfields, Hollow Crown Borough, Forgotten Monarch Shore, Frostcrown Ramparts, Ringfall Cinders, Bastion of the Unburied, Kandarian Hunting Grounds, VII - Violence: Thornblood Reach","956,483 legacy + 6,801,654 expansion regions (1,000k square); 36,048 sites",0.53%,
Sunken Assay Pit and Survey Galleries,cat:excavation_sunken_assay,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00003328,0.0013,"about 1 per 27,700 x 27,700 blocks","mode buried, tier 3; biomes: Tenement Wound, Gravity Scar, Bleached Expanse, Viridian Blastlands, Coalbreath Ridges, Brotherhood Slagfields, Blackgutter Chasm, Ringfall Cinders, IV - Greed: The Burdened Quarry, VIII - Fraud: Malebolge Trenches","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,300 sites",2.77%,
Last Broadcast Auditorium and Signal Vault,cat:auditorium_last_broadcast,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00002593,0.0010,"about 1 per 31,400 x 31,400 blocks","mode buried, tier 4; biomes: Rustwater Ward, Gutterglass Schoolgrounds, Bloomfall Tenements, Signalwreck Coast, Dead Array, Neon Dust Basin, Gilded Hush, Carousel Wastes, Cabin of the Listening Pines, Boomtown After Midnight, Endless Night Boulevard, Grinning Hollow","956,483 legacy + 6,801,654 expansion regions (1,000k square); 1,013 sites",3.14%,
Penitent Springs and Reliquary Baths,cat:bathhouse_penitent_springs,ChatGPT Codex catalogue (HorrorBiomes),"expansion grid: one candidate per 384x384-block region (density gate 20%); 3 of 4 regions only take surface designs of tier >= 3, the 4th a tier-weighted mixed pool (94%, 60% exclusive); 80x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.001767,0.0690,"about 1 per 3,800 x 3,800 blocks","mode surface, tier 3; biomes: Drowned Borough, Penitent Spillway, Red Blossom Hollow, Blackreed Marsh, Brine Lantern Mire, Hollow Crown Borough, Rootbound Sanctuary, Forgotten Monarch Shore, Cathedral of the Last Ember, Drowned Oath Fen, I - Limbo: Mourning Fields, III - Gluttony: Carrion Slough, V - Wrath: Styx Blackwater, VII - Violence: Thornblood Reach","956,483 legacy + 6,801,654 expansion regions (1,000k square); 69,003 sites",0.38%,
